code,type,text,weight
overall_A_geum_ex_water,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_A_geum_ex_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_A_geum_ex_water,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_geum_ex_water,state,분별이 강하게 살아 길을 돕소. 물기운도 때를 맞추오.,1
overall_A_geum_ex_wood,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_A_geum_ex_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_A_geum_ex_wood,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_geum_ex_wood,state,분별이 강하게 살아 길을 돕소. 변화도 좋은 쪽으로 움직이오.,1
overall_A_hwa_df_earth,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_A_hwa_df_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_A_hwa_df_earth,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_hwa_df_earth,state,불기운이 조금 흐려도 오늘은 바로잡을 수 있소. 차분한 기운도 길을 돕소.,1
overall_A_hwa_df_fire,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_A_hwa_df_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_A_hwa_df_fire,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_hwa_df_fire,state,불기운이 조금 흐려도 오늘은 바로잡을 수 있소. 밝은 기운이 힘을 보태오.,1
overall_A_hwa_df_water,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_A_hwa_df_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_A_hwa_df_water,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_hwa_df_water,state,불기운이 조금 흐려도 오늘은 바로잡을 수 있소. 물기운도 때를 맞추오.,1
overall_A_hwa_df_wood,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_A_hwa_df_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_A_hwa_df_wood,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_hwa_df_wood,state,불기운이 조금 흐려도 오늘은 바로잡을 수 있소. 변화도 좋은 쪽으로 움직이오.,1
overall_A_hwa_ex_earth,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_A_hwa_ex_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_A_hwa_ex_earth,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_hwa_ex_earth,state,불기운이 강하게 살아 길을 돕소. 차분한 기운도 길을 돕소.,1
overall_A_hwa_ex_fire,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_A_hwa_ex_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_A_hwa_ex_fire,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_hwa_ex_fire,state,불기운이 강하게 살아 길을 돕소. 밝은 기운이 힘을 보태오.,1
overall_A_hwa_ex_water,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_A_hwa_ex_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_A_hwa_ex_water,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_hwa_ex_water,state,불기운이 강하게 살아 길을 돕소. 물기운도 때를 맞추오.,1
overall_A_hwa_ex_wood,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_A_hwa_ex_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_A_hwa_ex_wood,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_hwa_ex_wood,state,불기운이 강하게 살아 길을 돕소. 변화도 좋은 쪽으로 움직이오.,1
overall_A_mok_df_earth,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_A_mok_df_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_A_mok_df_earth,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_mok_df_earth,state,목기운이 조금 흐려도 오늘은 바로잡을 수 있소. 차분한 기운도 길을 돕소.,1
overall_A_mok_df_fire,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_A_mok_df_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_A_mok_df_fire,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_mok_df_fire,state,목기운이 조금 흐려도 오늘은 바로잡을 수 있소. 밝은 기운이 힘을 보태오.,1
overall_A_mok_df_water,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_A_mok_df_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_A_mok_df_water,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_mok_df_water,state,목기운이 조금 흐려도 오늘은 바로잡을 수 있소. 물기운도 때를 맞추오.,1
overall_A_mok_df_wood,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_A_mok_df_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_A_mok_df_wood,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_mok_df_wood,state,목기운이 조금 흐려도 오늘은 바로잡을 수 있소. 변화도 좋은 쪽으로 움직이오.,1
overall_A_mok_ex_earth,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_A_mok_ex_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_A_mok_ex_earth,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_mok_ex_earth,state,목기운이 강하게 살아 길을 돕소. 차분한 기운도 길을 돕소.,1
overall_A_mok_ex_fire,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_A_mok_ex_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_A_mok_ex_fire,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_mok_ex_fire,state,목기운이 강하게 살아 길을 돕소. 밝은 기운이 힘을 보태오.,1
overall_A_mok_ex_water,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_A_mok_ex_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_A_mok_ex_water,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_mok_ex_water,state,목기운이 강하게 살아 길을 돕소. 물기운도 때를 맞추오.,1
overall_A_mok_ex_wood,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_A_mok_ex_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_A_mok_ex_wood,action,미뤄둔 일 하나를 시작하시오. 좋은 때를 그냥 보내지 마시오.,1
overall_A_mok_ex_wood,state,목기운이 강하게 살아 길을 돕소. 변화도 좋은 쪽으로 움직이오.,1
overall_A_su_df_earth,intro,종합운은 물기운이 살아 있소. 나서도 좋겠소.,1
overall_A_su_df_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 때를 읽는 감이 살아 있소.,1
overall_A_su_df_earth,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_su_df_earth,state,물기운이 조금 흐려도 오늘은 바로잡을 수 있소. 차분한 기운도 길을 돕소.,1
overall_A_su_df_fire,intro,종합운은 물기운이 살아 있소. 나서도 좋겠소.,1
overall_A_su_df_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 때를 읽는 감이 살아 있소.,1
overall_A_su_df_fire,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_su_df_fire,state,물기운이 조금 흐려도 오늘은 바로잡을 수 있소. 밝은 기운이 힘을 보태오.,1
overall_A_su_df_water,intro,종합운은 물기운이 살아 있소. 나서도 좋겠소.,1
overall_A_su_df_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 때를 읽는 감이 살아 있소.,1
overall_A_su_df_water,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_su_df_water,state,물기운이 조금 흐려도 오늘은 바로잡을 수 있소. 물기운도 때를 맞추오.,1
overall_A_su_df_wood,intro,종합운은 물기운이 살아 있소. 나서도 좋겠소.,1
overall_A_su_df_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 때를 읽는 감이 살아 있소.,1
overall_A_su_df_wood,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_su_df_wood,state,물기운이 조금 흐려도 오늘은 바로잡을 수 있소. 변화도 좋은 쪽으로 움직이오.,1
overall_A_su_ex_earth,intro,종합운은 물기운이 살아 있소. 나서도 좋겠소.,1
overall_A_su_ex_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 때를 읽는 감이 살아 있소.,1
overall_A_su_ex_earth,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_su_ex_earth,state,물기운이 강하게 살아 길을 돕소. 차분한 기운도 길을 돕소.,1
overall_A_su_ex_fire,intro,종합운은 물기운이 살아 있소. 나서도 좋겠소.,1
overall_A_su_ex_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 때를 읽는 감이 살아 있소.,1
overall_A_su_ex_fire,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_su_ex_fire,state,물기운이 강하게 살아 길을 돕소. 밝은 기운이 힘을 보태오.,1
overall_A_su_ex_water,intro,종합운은 물기운이 살아 있소. 나서도 좋겠소.,1
overall_A_su_ex_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 때를 읽는 감이 살아 있소.,1
overall_A_su_ex_water,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_su_ex_water,state,물기운이 강하게 살아 길을 돕소. 물기운도 때를 맞추오.,1
overall_A_su_ex_wood,intro,종합운은 물기운이 살아 있소. 나서도 좋겠소.,1
overall_A_su_ex_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 때를 읽는 감이 살아 있소.,1
overall_A_su_ex_wood,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_su_ex_wood,state,물기운이 강하게 살아 길을 돕소. 변화도 좋은 쪽으로 움직이오.,1
overall_A_to_df_earth,intro,종합운은 토기운이 살아 있소. 나서도 좋겠소.,1
overall_A_to_df_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 중심이 크게 흔들리지 않소.,1
overall_A_to_df_earth,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_to_df_earth,state,토기운이 조금 흐려도 오늘은 바로잡을 수 있소. 차분한 기운도 길을 돕소.,1
overall_A_to_df_fire,intro,종합운은 토기운이 살아 있소. 나서도 좋겠소.,1
overall_A_to_df_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 중심이 크게 흔들리지 않소.,1
overall_A_to_df_fire,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_to_df_fire,state,토기운이 조금 흐려도 오늘은 바로잡을 수 있소. 밝은 기운이 힘을 보태오.,1
overall_A_to_df_water,intro,종합운은 토기운이 살아 있소. 나서도 좋겠소.,1
overall_A_to_df_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 중심이 크게 흔들리지 않소.,1
overall_A_to_df_water,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_to_df_water,state,토기운이 조금 흐려도 오늘은 바로잡을 수 있소. 물기운도 때를 맞추오.,1
overall_A_to_df_wood,intro,종합운은 토기운이 살아 있소. 나서도 좋겠소.,1
overall_A_to_df_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 중심이 크게 흔들리지 않소.,1
overall_A_to_df_wood,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_to_df_wood,state,토기운이 조금 흐려도 오늘은 바로잡을 수 있소. 변화도 좋은 쪽으로 움직이오.,1
overall_A_to_ex_earth,intro,종합운은 토기운이 살아 있소. 나서도 좋겠소.,1
overall_A_to_ex_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 중심이 크게 흔들리지 않소.,1
overall_A_to_ex_earth,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_to_ex_earth,state,토기운이 강하게 살아 길을 돕소. 차분한 기운도 길을 돕소.,1
overall_A_to_ex_fire,intro,종합운은 토기운이 살아 있소. 나서도 좋겠소.,1
overall_A_to_ex_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 중심이 크게 흔들리지 않소.,1
overall_A_to_ex_fire,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_to_ex_fire,state,토기운이 강하게 살아 길을 돕소. 밝은 기운이 힘을 보태오.,1
overall_A_to_ex_water,intro,종합운은 토기운이 살아 있소. 나서도 좋겠소.,1
overall_A_to_ex_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 중심이 크게 흔들리지 않소.,1
overall_A_to_ex_water,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_to_ex_water,state,토기운이 강하게 살아 길을 돕소. 물기운도 때를 맞추오.,1
overall_A_to_ex_wood,intro,종합운은 토기운이 살아 있소. 나서도 좋겠소.,1
overall_A_to_ex_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 중심이 크게 흔들리지 않소.,1
overall_A_to_ex_wood,action,중요한 일정부터 정리하시오. 오늘은 과감히 움직이시오.,1
overall_A_to_ex_wood,state,토기운이 강하게 살아 길을 돕소. 변화도 좋은 쪽으로 움직이오.,1
overall_B,intro,종합운이 괜찮소. 큰 욕심만 덜면 길이 보이오.,1
overall_B,intro,하루 기운은 안정되어 있소. 차분히 나아가시오.,1
overall_B,effect,오늘 하루는 무난히 풀릴 수 있소.,1
overall_B,effect,기대한 것보다 괜찮은 답이 올 수 있소.,1
overall_B,action,미뤄둔 일 하나를 시작하시오. 망설이지 말고 해보시오.,1
overall_B,action,중요한 일정부터 정리하시오. 이 정도면 움직일 만하오.,1
overall_B_geum_df_earth,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_B_geum_df_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_B_geum_df_earth,action,중요한 일정부터 정리하시오. 망설이지 말고 해보시오.,1
overall_B_geum_df_earth,state,분별이 조금 흐려도 오늘은 바로잡을 수 있소. 차분한 기운도 길을 돕소.,1
overall_B_geum_df_fire,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_B_geum_df_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_B_geum_df_fire,action,중요한 일정부터 정리하시오. 망설이지 말고 해보시오.,1
overall_B_geum_df_fire,state,분별이 조금 흐려도 오늘은 바로잡을 수 있소. 밝은 기운이 힘을 보태오.,1
overall_B_geum_df_water,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_B_geum_df_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_B_geum_df_water,action,중요한 일정부터 정리하시오. 망설이지 말고 해보시오.,1
overall_B_geum_df_water,state,분별이 조금 흐려도 오늘은 바로잡을 수 있소. 물기운도 때를 맞추오.,1
overall_B_geum_df_wood,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_B_geum_df_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_B_geum_df_wood,action,중요한 일정부터 정리하시오. 망설이지 말고 해보시오.,1
overall_B_geum_df_wood,state,분별이 조금 흐려도 오늘은 바로잡을 수 있소. 변화도 좋은 쪽으로 움직이오.,1
overall_B_geum_ex_earth,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_B_geum_ex_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_B_geum_ex_earth,action,중요한 일정부터 정리하시오. 망설이지 말고 해보시오.,1
overall_B_geum_ex_earth,state,분별이 강하게 살아 길을 돕소. 차분한 기운도 길을 돕소.,1
overall_B_geum_ex_fire,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_B_geum_ex_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_B_geum_ex_fire,action,중요한 일정부터 정리하시오. 망설이지 말고 해보시오.,1
overall_B_geum_ex_fire,state,분별이 강하게 살아 길을 돕소. 밝은 기운이 힘을 보태오.,1
overall_B_geum_ex_water,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_B_geum_ex_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_B_geum_ex_water,action,중요한 일정부터 정리하시오. 망설이지 말고 해보시오.,1
overall_B_geum_ex_water,state,분별이 강하게 살아 길을 돕소. 물기운도 때를 맞추오.,1
overall_B_geum_ex_wood,intro,종합운은 분별이 살아 있소. 나서도 좋겠소.,1
overall_B_geum_ex_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 기준이 서니 길이 보이오.,1
overall_B_geum_ex_wood,action,중요한 일정부터 정리하시오. 망설이지 말고 해보시오.,1
overall_B_geum_ex_wood,state,분별이 강하게 살아 길을 돕소. 변화도 좋은 쪽으로 움직이오.,1
overall_B_hwa_df_earth,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_B_hwa_df_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_B_hwa_df_earth,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_hwa_df_earth,state,불기운이 조금 흐려도 오늘은 바로잡을 수 있소. 차분한 기운도 길을 돕소.,1
overall_B_hwa_df_fire,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_B_hwa_df_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_B_hwa_df_fire,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_hwa_df_fire,state,불기운이 조금 흐려도 오늘은 바로잡을 수 있소. 밝은 기운이 힘을 보태오.,1
overall_B_hwa_df_water,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_B_hwa_df_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_B_hwa_df_water,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_hwa_df_water,state,불기운이 조금 흐려도 오늘은 바로잡을 수 있소. 물기운도 때를 맞추오.,1
overall_B_hwa_df_wood,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_B_hwa_df_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_B_hwa_df_wood,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_hwa_df_wood,state,불기운이 조금 흐려도 오늘은 바로잡을 수 있소. 변화도 좋은 쪽으로 움직이오.,1
overall_B_hwa_ex_earth,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_B_hwa_ex_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_B_hwa_ex_earth,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_hwa_ex_earth,state,불기운이 강하게 살아 길을 돕소. 차분한 기운도 길을 돕소.,1
overall_B_hwa_ex_fire,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_B_hwa_ex_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_B_hwa_ex_fire,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_hwa_ex_fire,state,불기운이 강하게 살아 길을 돕소. 밝은 기운이 힘을 보태오.,1
overall_B_hwa_ex_water,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_B_hwa_ex_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_B_hwa_ex_water,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_hwa_ex_water,state,불기운이 강하게 살아 길을 돕소. 물기운도 때를 맞추오.,1
overall_B_hwa_ex_wood,intro,종합운은 불기운이 살아 있소. 나서도 좋겠소.,1
overall_B_hwa_ex_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 움직일 힘이 살아 있소.,1
overall_B_hwa_ex_wood,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_hwa_ex_wood,state,불기운이 강하게 살아 길을 돕소. 변화도 좋은 쪽으로 움직이오.,1
overall_B_mok_df_earth,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_B_mok_df_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_B_mok_df_earth,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_mok_df_earth,state,목기운이 조금 흐려도 오늘은 바로잡을 수 있소. 차분한 기운도 길을 돕소.,1
overall_B_mok_df_fire,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_B_mok_df_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_B_mok_df_fire,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_mok_df_fire,state,목기운이 조금 흐려도 오늘은 바로잡을 수 있소. 밝은 기운이 힘을 보태오.,1
overall_B_mok_df_water,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_B_mok_df_water,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_B_mok_df_water,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_mok_df_water,state,목기운이 조금 흐려도 오늘은 바로잡을 수 있소. 물기운도 때를 맞추오.,1
overall_B_mok_df_wood,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_B_mok_df_wood,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_B_mok_df_wood,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_mok_df_wood,state,목기운이 조금 흐려도 오늘은 바로잡을 수 있소. 변화도 좋은 쪽으로 움직이오.,1
overall_B_mok_ex_earth,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_B_mok_ex_earth,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_B_mok_ex_earth,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
overall_B_mok_ex_earth,state,목기운이 강하게 살아 길을 돕소. 차분한 기운도 길을 돕소.,1
overall_B_mok_ex_fire,intro,종합운은 목기운이 살아 있소. 나서도 좋겠소.,1
overall_B_mok_ex_fire,effect,오늘 하루는 좋은 쪽으로 풀릴 수 있소. 새 길이 보이오.,1
overall_B_mok_ex_fire,action,미뤄둔 일 하나를 시작하시오. 이 정도면 움직일 만하오.,1
